Test	Confs. (features enabled)
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	CONNECTED, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:112)	NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:114)	BFS, DIRECTED, NUMBER, SEARCH
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:114)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:114)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.TestSuite_NEW.test_run1(TestSuite_NEW.java:114)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:168)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:168)	MSTKRUSKAL, NUMBER, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:168)	BFS, MSTKRUSKAL, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:168)	BFS, CONNECTED, MSTKRUSKAL, SEARCH, UNDIRECTED, WEIGHTED
tests.TestSuite_NEW.test_run2(TestSuite_NEW.java:168)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
