Test	Confs. (features enabled)
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	DIRECTED, NUMBER, WEIGHTED
tests.CycleRelated_Caio.WeightedGraphRelated(CycleRelated_Caio.java:98)	BFS, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	CONNECTED, MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	MSTPRIM, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, CONNECTED, MSTPRIM, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	MSTPRIM, NUMBER, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	NUMBER, UNDIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	UNDIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, DIRECTED, NUMBER, SEARCH, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, CONNECTED, MSTPRIM, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, CONNECTED, SEARCH, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, DIRECTED, NUMBER, SEARCH
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, DIRECTED, NUMBER, SEARCH, SHORTEST, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	CONNECTED, MSTPRIM, UNDIRECTED, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, NUMBER, SEARCH, UNDIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	DIRECTED, NUMBER, WEIGHTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, CONNECTED, NUMBER, SEARCH, UNDIRECTED
tests.GraphReturnTests_Caio.EdgeConstructorTest(GraphReturnTests_Caio.java:26)	BFS, SEARCH, UNDIRECTED, WEIGHTED
